INFO | 2015-11-23 18:26:58,044 | index | root | Logging a test message from /
INFO | 2015-11-23 18:27:10,003 | index | root | Logging a test message from /
INFO | 2015-11-23 18:27:21,830 | index | root | Logging a test message from /
INFO | 2015-11-23 18:52:55,731 | index | root | Logging a test message from /
INFO | 2015-11-23 19:39:12,981 | index | root | Logging a test message from /
INFO | 2015-11-23 19:46:23,981 | index | root | Logging a test message from /
INFO | 2015-11-23 19:46:33,801 | index | root | Logging a test message from /
INFO | 2015-11-23 19:46:38,325 | index | root | Logging a test message from /
INFO | 2015-11-23 20:18:26,196 | index | root | Logging a test message from /
INFO | 2015-11-23 20:18:27,893 | index | root | Logging a test message from /
INFO | 2015-11-23 20:18:44,875 | index | root | Logging a test message from /
INFO | 2015-11-23 20:18:54,442 | index | root | Logging a test message from /
INFO | 2015-11-23 20:19:53,119 | index | root | Logging a test message from /
INFO | 2015-11-23 20:20:05,047 | index | root | Logging a test message from /
INFO | 2015-11-23 20:20:11,451 | index | root | Logging a test message from /
INFO | 2015-11-23 20:21:35,675 | index | root | Logging a test message from /
INFO | 2015-11-23 20:21:41,851 | index | root | Logging a test message from /
INFO | 2015-11-23 20:24:48,130 | index | root | Logging a test message from /
INFO | 2015-11-23 20:24:54,436 | index | root | Logging a test message from /
INFO | 2015-11-23 20:25:39,438 | index | root | Logging a test message from /
INFO | 2015-11-23 20:25:45,807 | index | root | Logging a test message from /
INFO | 2015-11-23 20:29:04,880 | index | root | Logging a test message from /
INFO | 2015-11-23 20:29:10,474 | index | root | Logging a test message from /
INFO | 2015-11-23 20:32:45,515 | index | root | Logging a test message from /
INFO | 2015-11-23 20:32:50,409 | index | root | Logging a test message from /
INFO | 2015-11-23 20:33:35,387 | index | root | Logging a test message from /
INFO | 2015-11-23 20:33:54,128 | index | root | Logging a test message from /
INFO | 2015-11-23 20:34:20,187 | index | root | Logging a test message from /
INFO | 2015-11-23 20:34:25,297 | index | root | Logging a test message from /
INFO | 2015-11-23 20:35:32,160 | index | root | Logging a test message from /
INFO | 2015-11-23 20:35:48,479 | index | root | Logging a test message from /
INFO | 2015-11-23 20:35:54,247 | index | root | Logging a test message from /
INFO | 2015-11-23 20:39:27,422 | index | root | Logging a test message from /
INFO | 2015-11-23 20:39:34,136 | index | root | Logging a test message from /
INFO | 2015-11-23 20:45:09,338 | index | root | Logging a test message from /
INFO | 2015-11-23 20:46:48,034 | index | root | Logging a test message from /
INFO | 2015-11-23 20:47:49,392 | index | root | Logging a test message from /
INFO | 2015-11-23 20:48:21,005 | index | root | Logging a test message from /
INFO | 2015-11-23 20:48:50,608 | index | root | Logging a test message from /
INFO | 2015-11-23 20:49:39,855 | index | root | Logging a test message from /
INFO | 2015-11-24 18:41:03,733 | index | root | Logging a test message from /
INFO | 2015-11-24 18:41:51,888 | index | root | Logging a test message from /
INFO | 2015-11-24 18:43:31,851 | index | root | Logging a test message from /
INFO | 2015-11-24 18:43:47,724 | index | root | Logging a test message from /
INFO | 2015-11-24 18:43:58,739 | index | root | Logging a test message from /
INFO | 2015-11-24 18:49:35,280 | index | root | Logging a test message from /
INFO | 2015-11-24 19:00:02,762 | index | root | Logging a test message from /
INFO | 2015-11-24 19:00:04,701 | index | root | Logging a test message from /
INFO | 2015-11-24 19:00:05,992 | index | root | Logging a test message from /
INFO | 2015-11-24 19:23:08,769 | index | root | Logging a test message from /
INFO | 2015-11-24 19:24:22,906 | index | root | Logging a test message from /
INFO | 2015-11-24 19:26:25,187 | index | root | Logging a test message from /
INFO | 2015-11-24 19:28:26,836 | index | root | Logging a test message from /
INFO | 2015-11-24 19:28:51,738 | index | root | Logging a test message from /
INFO | 2015-11-24 19:29:39,925 | index | login | Logging a test message from /login/
INFO | 2015-11-24 19:35:26,365 | index | register | fuera
INFO | 2015-11-24 19:35:26,388 | index | register | dentro de else
INFO | 2015-11-24 19:35:45,768 | index | root | Logging a test message from /
INFO | 2015-11-24 19:35:49,160 | index | register | fuera
INFO | 2015-11-24 19:35:49,170 | index | register | dentro de else
INFO | 2015-11-24 19:37:10,470 | index | root | Logging a test message from /
INFO | 2015-11-24 19:37:13,963 | index | register | fuera
INFO | 2015-11-24 19:37:13,973 | index | register | dentro de else
INFO | 2015-11-24 19:39:12,024 | index | register | fuera
INFO | 2015-11-24 19:39:12,036 | index | register | dentro de else
INFO | 2015-11-24 19:40:23,726 | index | register | fuera
INFO | 2015-11-24 19:40:23,815 | index | register | dentro de else
INFO | 2015-11-24 19:41:27,650 | index | register | fuera
INFO | 2015-11-24 19:41:27,668 | index | register | dentro de else
INFO | 2015-11-24 19:43:22,892 | index | register | fuera
INFO | 2015-11-24 19:43:22,903 | index | register | dentro de else
INFO | 2015-11-24 19:45:59,471 | index | root | Logging a test message from /
INFO | 2015-11-24 19:46:04,836 | index | register | fuera
INFO | 2015-11-24 19:46:04,853 | index | register | dentro de else
INFO | 2015-11-24 19:46:38,613 | index | register | fuera
INFO | 2015-11-24 19:46:38,623 | index | register | dentro de else
INFO | 2015-11-24 19:46:46,085 | index | root | Logging a test message from /
INFO | 2015-11-24 19:46:48,604 | index | register | fuera
INFO | 2015-11-24 19:46:48,614 | index | register | dentro de else
INFO | 2015-11-24 19:47:06,984 | index | register | fuera
INFO | 2015-11-24 19:47:06,995 | index | register | dentro de else
INFO | 2015-11-24 19:47:25,211 | index | root | Logging a test message from /
INFO | 2015-11-24 19:47:26,082 | index | register | fuera
INFO | 2015-11-24 19:47:26,090 | index | register | dentro de else
INFO | 2015-11-24 19:48:17,001 | index | root | Logging a test message from /
INFO | 2015-11-24 19:48:55,094 | index | root | Logging a test message from /
INFO | 2015-11-24 19:48:55,179 | index | register | fuera
INFO | 2015-11-24 19:48:55,193 | index | register | dentro de else
INFO | 2015-11-24 19:48:57,228 | index | register | fuera
INFO | 2015-11-24 19:48:57,241 | index | register | dentro de else
INFO | 2015-11-24 19:49:37,842 | index | register | fuera
INFO | 2015-11-24 19:49:37,853 | index | register | dentro de if
INFO | 2015-11-24 19:49:37,922 | index | root | Logging a test message from /
INFO | 2015-11-24 19:50:55,362 | index | root | Logging a test message from /
INFO | 2015-11-24 19:51:01,248 | index | root | Logging a test message from /
INFO | 2015-11-24 19:51:56,279 | index | root | Logging a test message from /
INFO | 2015-11-24 19:52:00,920 | index | register | fuera
INFO | 2015-11-24 19:52:00,938 | index | register | dentro de else
INFO | 2015-11-24 19:52:25,073 | index | register | fuera
INFO | 2015-11-24 19:52:25,085 | index | register | dentro de if
INFO | 2015-11-24 19:52:25,325 | index | root | Logging a test message from /
INFO | 2015-11-24 19:53:07,505 | index | root | Logging a test message from /
INFO | 2015-11-24 19:53:12,230 | index | register | fuera
INFO | 2015-11-24 19:53:12,242 | index | register | dentro de else
INFO | 2015-11-24 19:53:18,414 | index | register | fuera
INFO | 2015-11-24 19:53:18,425 | index | register | dentro de if
INFO | 2015-11-24 19:53:18,790 | index | root | Logging a test message from /
INFO | 2015-11-24 19:55:02,195 | index | root | Logging a test message from /
INFO | 2015-11-24 19:55:02,670 | index | root | Logging a test message from /
INFO | 2015-11-24 19:55:06,322 | index | register | fuera
INFO | 2015-11-24 19:55:06,339 | index | register | dentro de else
INFO | 2015-11-24 19:55:38,804 | index | root | Logging a test message from /
INFO | 2015-11-24 19:55:39,254 | index | root | Logging a test message from /
INFO | 2015-11-24 19:55:42,312 | index | register | fuera
INFO | 2015-11-24 19:55:42,320 | index | register | dentro de else
INFO | 2015-11-24 19:55:49,035 | index | register | fuera
INFO | 2015-11-24 19:55:49,043 | index | register | dentro de if
INFO | 2015-11-24 19:55:49,279 | index | root | Logging a test message from /
INFO | 2015-11-24 19:55:53,119 | index | register | fuera
INFO | 2015-11-24 19:55:53,130 | index | register | dentro de else
INFO | 2015-11-24 19:55:54,093 | index | register | fuera
INFO | 2015-11-24 19:55:54,116 | index | register | dentro de if
INFO | 2015-11-24 19:55:54,500 | index | root | Logging a test message from /
INFO | 2015-11-24 19:55:58,148 | index | register | fuera
INFO | 2015-11-24 19:55:58,159 | index | register | dentro de else
INFO | 2015-11-24 19:56:38,446 | index | root | Logging a test message from /
INFO | 2015-11-24 19:56:41,204 | index | register | fuera
INFO | 2015-11-24 19:56:41,214 | index | register | dentro de else
INFO | 2015-11-24 19:56:50,285 | index | register | fuera
INFO | 2015-11-24 19:56:50,301 | index | register | dentro de if
INFO | 2015-11-24 19:56:50,704 | index | root | Logging a test message from /
INFO | 2015-11-24 19:57:31,404 | index | register | fuera
INFO | 2015-11-24 19:57:31,443 | index | register | dentro de else
INFO | 2015-11-24 19:57:40,091 | index | register | fuera
INFO | 2015-11-24 19:57:40,106 | index | register | dentro de if
INFO | 2015-11-24 19:59:29,664 | index | register | fuera
INFO | 2015-11-24 19:59:29,678 | index | register | dentro de else
INFO | 2015-11-24 19:59:36,045 | index | register | fuera
INFO | 2015-11-24 19:59:36,061 | index | register | dentro de if
INFO | 2015-11-24 20:01:27,046 | index | register | fuera
INFO | 2015-11-24 20:01:27,092 | index | register | dentro de else
INFO | 2015-11-24 20:01:34,380 | index | register | fuera
INFO | 2015-11-24 20:01:34,399 | index | register | dentro de if
INFO | 2015-11-24 20:01:39,723 | index | root | Logging a test message from /
INFO | 2015-11-24 20:02:01,509 | index | login | Logging a test message from /login/
INFO | 2015-11-24 20:05:35,854 | index | root | Logging a test message from /
INFO | 2015-11-24 20:05:39,109 | index | login | Logging a test message from /login/
INFO | 2015-11-24 20:05:43,562 | index | login | Logging a test message from /login/
INFO | 2015-11-24 20:06:23,957 | index | login | Logging a test message from /login/
INFO | 2015-11-24 20:06:29,028 | index | login | Logging a test message from /login/
INFO | 2015-11-24 20:08:54,255 | index | root | Logging a test message from /
INFO | 2015-11-24 20:13:37,489 | index | root | Logging a test message from /
INFO | 2015-11-25 15:39:14,374 | index | root | Logging a test message from /
INFO | 2015-11-25 15:41:13,363 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:41:21,890 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:41:31,539 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:41:36,502 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:42:12,113 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:42:18,147 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:45:30,881 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:45:41,383 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:46:47,146 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:47:58,386 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:48:03,767 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:48:03,941 | index | login | Dentro de if login
INFO | 2015-11-25 15:48:04,171 | index | check_auth | Antes de if de check auth
INFO | 2015-11-25 15:48:09,094 | index | login | Dentro de else check login
INFO | 2015-11-25 15:51:59,137 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:52:02,544 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:52:07,849 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:52:07,963 | index | login | Dentro de if login
INFO | 2015-11-25 15:52:08,177 | index | check_auth | Antes de if de check auth
INFO | 2015-11-25 15:52:13,032 | index | login | Dentro de else check login
INFO | 2015-11-25 15:53:02,381 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:53:02,471 | index | login | Dentro de if login
INFO | 2015-11-25 15:53:02,548 | index | check_auth | Antes de if de check auth
INFO | 2015-11-25 15:53:07,514 | index | login | Dentro de else check login
INFO | 2015-11-25 15:53:18,068 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:53:22,192 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:53:22,247 | index | login | Dentro de if login
INFO | 2015-11-25 15:53:22,298 | index | check_auth | Antes de if de check auth
INFO | 2015-11-25 15:53:27,403 | index | login | Dentro de else check login
INFO | 2015-11-25 15:53:36,947 | index | login | Logging a test message from /login/
INFO | 2015-11-25 15:53:37,005 | index | login | Dentro de if login
INFO | 2015-11-25 15:53:37,051 | index | check_auth | Antes de if de check auth
INFO | 2015-11-25 15:53:49,160 | index | login | Logging a test message from /login/
INFO | 2015-11-25 16:08:18,702 | index | root | Logging a test message from /
INFO | 2015-11-25 16:08:24,454 | index | root | Logging a test message from /
INFO | 2015-11-25 16:08:25,648 | index | root | Logging a test message from /
INFO | 2015-11-25 16:08:26,951 | index | root | Logging a test message from /
INFO | 2015-11-25 16:08:35,645 | index | root | Logging a test message from /
INFO | 2015-11-25 16:08:50,570 | index | root | Logging a test message from /
INFO | 2015-11-25 16:08:52,258 | index | root | Logging a test message from /
INFO | 2015-11-25 16:09:22,261 | index | root | Logging a test message from /
INFO | 2015-11-25 16:09:26,008 | index | root | Logging a test message from /
INFO | 2015-11-25 16:09:33,891 | index | root | Logging a test message from /
INFO | 2015-11-25 16:09:35,611 | index | root | Logging a test message from /
INFO | 2015-11-25 16:11:16,336 | index | root | Logging a test message from /
INFO | 2015-11-25 16:11:17,410 | index | root | Logging a test message from /
INFO | 2015-11-25 16:13:07,466 | index | root | Logging a test message from /
INFO | 2015-11-25 16:13:12,265 | index | root | Logging a test message from /
INFO | 2015-11-25 16:13:14,875 | index | root | Logging a test message from /
INFO | 2015-11-25 16:13:26,120 | index | root | Logging a test message from /
INFO | 2015-11-25 16:13:27,792 | index | root | Logging a test message from /
INFO | 2015-11-25 16:17:59,888 | index | root | Logging a test message from /
INFO | 2015-11-25 16:19:32,855 | index | root | Logging a test message from /
INFO | 2015-11-25 16:33:25,114 | index | root | Logging a test message from /
INFO | 2015-11-25 16:39:31,936 | index | register | Logging a test message from /register/
INFO | 2015-11-25 16:39:40,895 | index | register | Logging a test message from /register/
INFO | 2015-11-25 16:39:47,813 | index | root | Logging a test message from /
INFO | 2015-11-25 16:51:29,444 | index | register | Logging a test message from /register/
INFO | 2015-11-25 16:51:34,987 | index | register | Logging a test message from /register/
INFO | 2015-11-25 16:51:41,547 | index | register | Logging a test message from /register/
INFO | 2015-11-25 16:51:48,121 | index | root | Logging a test message from /
INFO | 2015-11-25 16:57:00,205 | index | root | Logging a test message from /
INFO | 2015-11-25 17:36:22,517 | index | root | Logging a test message from /
INFO | 2015-11-25 18:03:54,772 | index | root | Logging a test message from /
INFO | 2015-11-25 18:04:35,894 | index | root | Logging a test message from /
INFO | 2015-11-25 18:05:06,943 | index | root | Logging a test message from /
INFO | 2015-11-25 18:05:08,255 | index | loadUserBlog | Logging a test message from favicon.ico
INFO | 2015-11-25 18:05:10,673 | index | loadUserBlog | Logging a test message from ser
INFO | 2015-11-25 18:05:11,555 | index | loadUserBlog | Logging a test message from favicon.ico
INFO | 2015-11-25 18:05:41,658 | index | root | Logging a test message from /
INFO | 2015-11-25 18:05:42,137 | index | loadUserBlog | Logging a test message from favicon.ico
INFO | 2015-11-25 18:06:16,343 | index | root | Logging a test message from /
INFO | 2015-11-25 18:11:47,840 | index | root | Logging a test message from /
INFO | 2015-11-25 18:11:53,200 | index | post | Logging a test message from /post/
INFO | 2015-11-25 18:14:07,311 | index | post | Logging a test message from /post/
INFO | 2015-11-25 18:14:18,716 | index | post | Logging a test message from /post/
INFO | 2015-11-25 18:14:20,197 | index | root | Logging a test message from /
